No.,Brand,ItemID,Picture,Name,Season,Category,Color,Pattern,ImagePath
58,AnderssonBell,AA-26SS-007,,BACK KNIT ARGYLE PATCHED VEST,26SS,Top ,Grey,Solid,
59,AnderssonBell,AA-26SS-008,,PYTHON FADE DENIM PRINTED JACKET,26SS,Jacket,Blue,Animal Print,
60,AnderssonBell,AA-26SS-009,,LACE TRIMMED POLO JERSEY TOP,26SS,T-shirt,Green,Color-Block,
61,AnderssonBell,AA-26SS-010,,LACE TRIMMED POLO JERSEY TOP,26SS,T-shirt,Red,Color-Block,
62,AnderssonBell,AA-26SS-011,,EMBROIDERY LACE DRESS,26SS,Dress,Pink,Color-Block,
63,AnderssonBell,AA-26SS-012,,EMBROIDERY LACE DRESS,26SS,Dress,Navy,Solid,
64,AnderssonBell,AA-26SS-013,,PYTHON FADE DENIM PRINTED TWIST BUSTIER,26SS,Top ,Blue,Animal Print,
65,AnderssonBell,AA-26SS-014,,PYTHON FADE DENIM PRINTED OVERLAY JEANS,26SS,Jeans,Blue,Animal Print,
66,AnderssonBell,AA-26SS-015,,PYTHON FADE DENIM PRINTED SKIRT,26SS,Skirt,Blue,Animal Print,
67,AnderssonBell,AA-26SS-016,,DENIM COLLAGE PRINTED TOP,26SS,Top ,Blue,Graphic Print,
68,AnderssonBell,AA-26SS-017,,METALLIC PAINTED LAYERED HOODIE,26SS,Hoodie,Grey,Solid,
69,Germanier,GER-26SS-001,,GERMANIER 26SS Look1,26SS,Couture,Navy,Solid,
70,Germanier,GER-26SS-002,,GERMANIER 26SS Look2,26SS,Couture,Blue,Graphic Print,
71,Germanier,GER-26SS-003,,GERMANIER 26SS Look3,26SS,Couture,Blue,Graphic Print,
72,Germanier,GER-26SS-004,,GERMANIER 26SS Look4,26SS,Couture,Purple,Solid,
73,Germanier,GER-26SS-005,,GERMANIER 26SS Look5,26SS,Couture,White,Graphic Print,
74,Germanier,GER-26SS-006,,GERMANIER 26SS Look6,26SS,Couture,Grey,Color-Block,
75,Germanier,GER-26SS-007,,GERMANIER 26SS Look7,26SS,Couture,Blue,Color-Block,
76,Germanier,GER-26SS-008,,GERMANIER 26SS Look8,26SS,Couture,Beige,Color-Block,
77,Germanier,GER-26SS-009,,GERMANIER 26SS Look9,26SS,Couture,Green,Color-Block,
78,Germanier,GER-26SS-010,,GERMANIER 26SS Look10,26SS,Couture,Blue,Graphic Print,
79,Germanier,GER-26SS-011,,GERMANIER 26SS Look11,26SS,Couture,White,Solid,
80,Germanier,GER-26SS-012,,GERMANIER 26SS Look12,26SS,Couture,White,Solid,
81,Germanier,GER-26SS-013,,GERMANIER 26SS Look13,26SS,Couture,Blue,Graphic Print,
82,Germanier,GER-26SS-014,,GERMANIER 26SS Look14,26SS,Couture,White,Solid,
83,Germanier,GER-26SS-015,,GERMANIER 26SS Look15,26SS,Couture,White,Solid,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
